tradeN;symbol;type;shares;entrySignal;entryTime;entryPrice;exitSignal;exitTime;exitPrice;profit;runUp;drawDown
117;MTA.BZU;Long;402;breakout_52;01/06/2007 00:00:00;24,85;volatility exit;08/06/2007 00:00:00;24,51;-136,68;385,92;-136,68
118;MTA.DLG;Long;2173;breakout_n;15/06/2007 00:00:00;4,6;volatility exit;22/06/2007 00:00:00;4,52;-173,84;347,68;-173,84
119;MTA.DAN;Long;503;breakout_n;15/06/2007 00:00:00;19,87;volatility exit;29/06/2007 00:00:00;21,74;940,61;1951,64;0
120;MTA.ITM;Long;237;breakout_n;06/04/2007 00:00:00;42,16;volatility exit;29/06/2007 00:00:00;47,13;1177,89;2042,94;-66,36
121;MTA.TIP;Long;4065;breakout_n;15/06/2007 00:00:00;2,46;volatility exit;29/06/2007 00:00:00;2,39;-284,549999999999;243,9;-325,2
122;MTA.CEM;Long;874;breakout_n;13/07/2007 00:00:00;11,43;volatility exit;20/07/2007 00:00:00;11,05;-332,119999999999;183,54;-332,12
123;MTA.DAN;Long;421;breakout_n;13/07/2007 00:00:00;23,75;volatility exit;20/07/2007 00:00:00;25,36;677,81;1241,95;0
124;MTA.IRE;Long;3460;breakout_n;13/07/2007 00:00:00;2,89;volatility exit;27/07/2007 00:00:00;2,74;-519;0;-519
125;MTA.TIP;Long;3968;breakout_n;13/07/2007 00:00:00;2,52;volatility exit;27/07/2007 00:00:00;2,41;-436,48;79,36;-436,48
126;MTA.DAN;Long;363;breakout_n;02/11/2007 00:00:00;27,5;volatility exit;09/11/2007 00:00:00;26,33;-424,709999999999;79,86;-424,71
127;MTA.ASC;Long;6211;breakout_52;21/12/2007 00:00:00;1,61;volatility exit;11/01/2008 00:00:00;1,67;372,659999999999;931,65;-310,55
128;MTA.DIS;Long;5649;breakout_52;09/05/2008 00:00:00;1,77;volatility exit;16/05/2008 00:00:00;1,73;-225,96;338,94;-225,96
129;MTA.ZV;Long;2398;breakout_52;13/06/2008 00:00:00;4,17;volatility exit;27/06/2008 00:00:00;4,09;-191,84;455,62;-311,74
130;MTA.MAIRE;Long;3067;breakout_52;05/12/2008 00:00:00;3,26;volatility exit;12/12/2008 00:00:00;3,22;-122,68;398,71;-122,68
131;MTA.BGN;Long;1626;breakout_n;05/06/2009 00:00:00;6,15;volatility exit;12/06/2009 00:00:00;6,08;-113,82;569,1;-113,82
132;MTA.BGN;Long;1538;breakout_n;24/07/2009 00:00:00;6,5;volatility exit;31/07/2009 00:00:00;6,49;-15,38;522,92;-15,38
133;MTA.MOL;Long;2159;breakout_52;07/08/2009 00:00:00;4,63;volatility exit;14/08/2009 00:00:00;5,17;1165,86;1770,38;0
134;MTA.BGN;Long;1430;breakout_n;28/08/2009 00:00:00;6,99;volatility exit;04/09/2009 00:00:00;6,86;-185,9;343,2;-185,9
135;MTA.BGN;Long;1383;breakout_n;18/09/2009 00:00:00;7,23;volatility exit;25/09/2009 00:00:00;7,55;442,559999999999;995,76;0
136;MTA.ASC;Long;6289;breakout_n;25/09/2009 00:00:00;1,59;volatility exit;02/10/2009 00:00:00;1,52;-440,23;62,89;-440,23
137;MTA.MAIRE;Long;1173;breakout_52;02/10/2009 00:00:00;8,52;volatility exit;09/10/2009 00:00:00;8,01;-598,23;445,74;-609,96
138;MTA.MARR;Long;1663;breakout_52;11/09/2009 00:00:00;6,01;volatility exit;09/10/2009 00:00:00;5,81;-332,599999999999;182,93;-332,6
139;MTA.CMB;Long;2242;breakout_52;09/10/2009 00:00:00;4,46;volatility exit;23/10/2009 00:00:00;4,81;784,700000000001;1479,72;0
140;MTA.DAN;Long;569;breakout_52;25/09/2009 00:00:00;17,56;volatility exit;23/10/2009 00:00:00;18,78;694,180000000001;1257,49;-147,94
141;MTA.DLG;Long;3984;breakout_n;09/10/2009 00:00:00;2,51;volatility exit;23/10/2009 00:00:00;2,74;916,32;1553,76;0
142;MTA.BZU;Long;779;breakout_52;23/10/2009 00:00:00;12,83;volatility exit;30/10/2009 00:00:00;12,36;-366,130000000001;148,01;-366,13
143;MTA.ITM;Long;560;breakout_52;23/10/2009 00:00:00;17,85;volatility exit;30/10/2009 00:00:00;17,04;-453,600000000001;50,4;-733,6
144;MTA.MOL;Long;1834;breakout_n;23/10/2009 00:00:00;5,45;volatility exit;30/10/2009 00:00:00;5,35;-183,399999999999;366,8;-183,4
145;MTA.PIA;Long;5208;breakout_52;30/10/2009 00:00:00;1,92;volatility exit;06/11/2009 00:00:00;1,76;-833,28;0;-1562,4
146;MTA.CE;Long;1828;breakout_52;20/11/2009 00:00:00;5,47;volatility exit;27/11/2009 00:00:00;5,2;-493,559999999999;18,28;-493,56
147;MTA.DLG;Long;3448;breakout_n;04/12/2009 00:00:00;2,9;volatility exit;11/12/2009 00:00:00;2,9;0;586,16;0
148;MTA.PIA;Long;5076;breakout_n;25/12/2009 00:00:00;1,97;volatility exit;15/01/2010 00:00:00;2,02;253,8;812,16;-253,8
149;MTA.CE;Long;1805;breakout_n;08/01/2010 00:00:00;5,54;volatility exit;22/01/2010 00:00:00;5,53;-18,05;523,45;-72,2
150;MTA.DAN;Long;505;breakout_n;08/01/2010 00:00:00;19,77;volatility exit;22/01/2010 00:00:00;19,47;-151,5;368,65;-363,6
151;MTA.DLG;Long;3257;breakout_n;15/01/2010 00:00:00;3,07;volatility exit;22/01/2010 00:00:00;2,89;-586,260000000001;0;-781,68
152;MTA.MARR;Long;1633;breakout_n;15/01/2010 00:00:00;6,12;volatility exit;05/02/2010 00:00:00;6,03;-146,97;457,24;-146,97
153;MTA.ARN;Long;1697;breakout_52;29/01/2010 00:00:00;5,89;volatility exit;05/02/2010 00:00:00;5,88;-16,97;1187,9;-16,97
154;MTA.PIA;Long;4694;breakout_n;26/02/2010 00:00:00;2,13;volatility exit;12/03/2010 00:00:00;2,24;516,340000000002;1408,2;0
155;MTA.MOL;Long;1769;breakout_n;19/03/2010 00:00:00;5,65;volatility exit;26/03/2010 00:00:00;5,52;-229,97;300,73;-229,97
156;MTA.PIA;Long;4115;breakout_n;02/04/2010 00:00:00;2,43;volatility exit;09/04/2010 00:00:00;2,33;-411,5;123,45;-411,5
157;MTA.DAN;Long;487;breakout_n;09/04/2010 00:00:00;20,5;volatility exit;23/04/2010 00:00:00;19,54;-467,52;53,57;-467,52
158;MTA.IRE;Long;6578;breakout_52;23/04/2010 00:00:00;1,52;volatility exit;30/04/2010 00:00:00;1,46;-394,68;131,56;-394,68
159;MTA.MOL;Long;1718;breakout_n;23/04/2010 00:00:00;5,82;volatility exit;30/04/2010 00:00:00;5,55;-463,860000000001;51,54;-463,86
160;MTA.PIA;Long;4065;breakout_n;23/04/2010 00:00:00;2,46;volatility exit;30/04/2010 00:00:00;2,42;-162,6;406,5;-162,6
161;MTA.ZV;Long;2564;breakout_52;26/03/2010 00:00:00;3,9;volatility exit;30/04/2010 00:00:00;3,95;128,200000000001;692,28;0
162;MTA.MARR;Long;1562;breakout_n;12/03/2010 00:00:00;6,4;volatility exit;07/05/2010 00:00:00;6,7;468,6;1030,92;0
163;MTA.DLG;Long;3257;breakout_n;07/05/2010 00:00:00;3,07;volatility exit;14/05/2010 00:00:00;2,95;-390,84;1172,52;-390,84
164;MTA.ASC;Long;6211;breakout_52;16/04/2010 00:00:00;1,61;lowest_low exit;14/05/2010 00:00:00;1,5;-683,210000000001;0;-683,21
165;MTA.CMB;Long;1926;breakout_52;14/05/2010 00:00:00;5,19;volatility exit;21/05/2010 00:00:00;5,01;-346,680000000001;173,34;-346,68
166;MTA.DLG;Long;2915;breakout_n;02/07/2010 00:00:00;3,43;volatility exit;09/07/2010 00:00:00;3,35;-233,2;291,5;-466,4
167;MTA.SOL;Long;2044;breakout_52;30/07/2010 00:00:00;4,89;volatility exit;13/08/2010 00:00:00;4,66;-470,119999999999;143,08;-470,12
168;MTA.ZV;Long;2403;breakout_n;20/08/2010 00:00:00;4,16;volatility exit;27/08/2010 00:00:00;3,97;-456,57;408,51;-456,57
169;MTA.SOL;Long;2016;breakout_n;03/09/2010 00:00:00;4,96;volatility exit;10/09/2010 00:00:00;4,75;-423,36;80,64;-423,36
170;MTA.MARR;Long;1416;breakout_n;13/08/2010 00:00:00;7,06;volatility exit;17/09/2010 00:00:00;7,22;226,559999999999;764,64;-14,16
171;MTA.DLG;Long;2832;breakout_n;17/09/2010 00:00:00;3,53;volatility exit;24/09/2010 00:00:00;3,48;-141,600000000001;396,48;-141,6
